;Query;Tweet;Username;Date;Hashtags;Likes;Retweets;URL
61;Spain;"Just 2 weeks remain in the winter qualification period so many are heading out for final points - please follow the COVID protocols. Qualification emails are on their way so thoughts turn to which Regional to do.  There's a venue change in the Midlands.
https://t.co/BKpX7eh9e0 https://t.co/TuUn8MKXhs";britishdressage;Thu Dec 17 14:06:46 +0000 2020;['No Hashtags'];2;0;['https://t.co/BKpX7eh9e0', 'https://t.co/TuUn8MKXhs']
62;Spain;"No10 condemns Tory MP Tobias Ellwood for 'egregious breach' of coronavirus rules 
If he was Cummings he'd have got a payrise
A minister, Tory MPs told to back him on Twitter 
#torycorruption
https://t.co/1S3RUWDbTH";mmaher70;Thu Dec 17 14:29:13 +0000 2020;['torycorruption'];4;4;['https://t.co/1S3RUWDbTH']
63;restaurant;@JayInslee No connection to restaurants Jay. https://t.co/E2vlUkuOr4;FredricoPena;Thu Dec 17 14:20:46 +0000 2020;['No Hashtags'];0;0;['https://t.co/E2vlUkuOr4']
64;restaurant;But restaurants?? #Tyranny https://t.co/C4e9lkkpQq;Mia_patriot2A;Thu Dec 17 14:25:01 +0000 2020;['Tyranny'];1;0;['https://t.co/C4e9lkkpQq']
65;restaurant;COVID-19 restrictions on bars, restaurants ease overnight https://t.co/1OwZK6AnoB;KCCINews;Thu Dec 17 13:52:05 +0000 2020;['No Hashtags'];2;2;['https://t.co/1OwZK6AnoB']
66;restaurant;Analysis: Are restaurants and bars kindling COVID-19 in Minn.? https://t.co/EApEYoDVZV via @mprnews;mngopherbroke;Thu Dec 17 14:02:47 +0000 2020;['No Hashtags'];1;0;['https://t.co/EApEYoDVZV']
67;restaurant;"And NJ is still not closing bars &amp; restaurants because what exactly?

Outdoor dining in a heated yurt is exactly the same as eating inside the restaurant, ya yobs https://t.co/BZ6OTVbANn";djezreader;Thu Dec 17 14:12:23 +0000 2020;['No Hashtags'];0;0;['https://t.co/BZ6OTVbANn']
68;restaurant;The Junta has relaxed the festive coronavirus containment measures so that bars and restaurants can now stay open between 6 and 8pm from Saturday, but only if they function as a café... https://t.co/BfIx58BR6H https://t.co/Sfgcu10YQU;MarbellaNews;Thu Dec 17 14:08:55 +0000 2020;['No Hashtags'];0;0;['https://t.co/BfIx58BR6H', 'https://t.co/Sfgcu10YQU']
69;restaurant;"Strip clubs in San Diego may stay open while bars and restaurants are closed during COVID, judge decides https://t.co/ICO0Qjbxj9 
https://t.co/nvRPxwSxur
news";Jersey_Devil;Thu Dec 17 14:26:45 +0000 2020;['No Hashtags'];0;0;['https://t.co/ICO0Qjbxj9', 'https://t.co/nvRPxwSxur']
70;restaurant;San Diego will pause enforcing COVID-19 restrictions against restaurants. https://t.co/lk1bQFHUZy;kron4news;Thu Dec 17 14:15:00 +0000 2020;['No Hashtags'];17;0;['https://t.co/lk1bQFHUZy']
71;restaurant;Shop local. https://t.co/l729LWPMSF;RushworthBond;Thu Dec 17 14:11:36 +0000 2020;['No Hashtags'];2;0;['https://t.co/l729LWPMSF']
72;economy;"evidence that the economy’s recovery from the pandemic recession was faltering.  
https://t.co/ECtdgozt21 
#usa #unemployment #economy";fxaffairs;Thu Dec 17 13:52:57 +0000 2020;['usa', 'unemployment', 'economy'];0;0;['https://t.co/ECtdgozt21']
73;economy;Folly by the government to increase regressive taxes whilst the economy is still suffering and heading for recession. https://t.co/ZxDHvpolNt;MikeMcCusker15;Thu Dec 17 14:07:55 +0000 2020;['No Hashtags'];0;0;['https://t.co/ZxDHvpolNt']
74;economy;Too many PoMos for a small country! https://t.co/szZF9ZeaZ9;Meggi_DE;Thu Dec 17 14:28:28 +0000 2020;['No Hashtags'];0;0;['https://t.co/szZF9ZeaZ9']
75;economy;@irunthiscity88 This country still hit for hella money in the pandemic;DjPrezG5;Thu Dec 17 14:08:10 +0000 2020;['No Hashtags'];0;0;[]
76;economy;No amount of govt intervention adequate for pandemic-hit economy: FM https://t.co/w60aG7hiN9;TOIBusiness;Thu Dec 17 14:25:09 +0000 2020;['No Hashtags'];2;0;['https://t.co/w60aG7hiN9']
77;economy;No amount of govt intervention adequate for pandemic-hit economy: FM Nirmala Sitharaman https://t.co/iShmcoaHHH;republic;Thu Dec 17 14:27:11 +0000 2020;['No Hashtags'];124;5;['https://t.co/iShmcoaHHH']
78;economy;@RepKenBuck @AmericaNewsroom Why do you continue to fail to serve your country during the Pandemic? https://t.co/SJU9lEaT2R;COPi314;Thu Dec 17 14:09:33 +0000 2020;['No Hashtags'];3;1;['https://t.co/SJU9lEaT2R']
79;economy;"🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦

Because Canada's political leadership... delivers for Canadians citizens, her economy, and small business. 

@liberal_party @NDP https://t.co/Yy7bJexkl0";jmhamiltonblog;Thu Dec 17 14:38:54 +0000 2020;['No Hashtags'];0;0;['https://t.co/Yy7bJexkl0']
80;economy;Imagine living in a country where the government raised taxes in the middle of the pandemic https://t.co/UUs5lAHIAw;wtfjxremie;Thu Dec 17 14:23:36 +0000 2020;['No Hashtags'];2;0;['https://t.co/UUs5lAHIAw']
81;school;@podroberts only secondary schools https://t.co/Y93T41IKLy;AllenWeso6;Thu Dec 17 13:57:38 +0000 2020;['No Hashtags'];0;0;['https://t.co/Y93T41IKLy']
82;school;So are schools closed again? https://t.co/dTDTZpjIMb;BeanFromPA;Thu Dec 17 14:17:38 +0000 2020;['No Hashtags'];1;0;['https://t.co/dTDTZpjIMb']
83;school;"#UnionStrong reminder that many #NYC school buildings contain 2-3 schools each.
171 buildings w/ #COVID19 &gt; 171 schools. @CTULocal1 @MFT59 @OaklandEA @BTU66 @MTEAunion @UTLAnow https://t.co/h2qpUXmTSx";labor_against;Thu Dec 17 13:49:30 +0000 2020;['UnionStrong', 'NYC', 'COVID19'];5;3;['https://t.co/h2qpUXmTSx']
84;school;@IraStoll asks @BostonCathSupt how and why Boston-area Catholic schools have pulled off in-person schooling this fall. https://t.co/SmO2vGLwvr;ProfMartyWest;Thu Dec 17 14:27:44 +0000 2020;['No Hashtags'];1;1;['https://t.co/SmO2vGLwvr']
85;school;@AndreaMurray67 Covid-19 transmitted in fewer than 10 schools – #NPHET;BillEbrill;Thu Dec 17 13:51:09 +0000 2020;['NPHET'];0;0;[]
86;school;They really have the audacity to say open schools when they’re the most embarrassed fandom since the pandemic schools should be open for them 😭;nihallxn;Thu Dec 17 14:04:00 +0000 2020;['No Hashtags'];0;0;[]
87;school;But sure, open schools. https://t.co/AuxP8IYzhl;StoneFree924;Thu Dec 17 14:33:40 +0000 2020;['No Hashtags'];0;0;['https://t.co/AuxP8IYzhl']
88;school;The struggle is real--As teachers quarantine, Philly-area schools hunt for substitutes https://t.co/sxbW5OAbgM via @phillyinquirer;PhilaEnergyGal;Thu Dec 17 13:50:23 +0000 2020;['No Hashtags'];1;1;['https://t.co/sxbW5OAbgM']
89;school;"@Lollita35126674 @Stavros_papa @Themomnextdoor2 @CP24 @epdevilla “largely due to COVID-19 being acquired outside of school rather than within it”

https://t.co/IJlX2l6CSW";polarazzi;Thu Dec 17 14:24:38 +0000 2020;['No Hashtags'];0;0;['https://t.co/IJlX2l6CSW']
